Source Site Name,Desctination Site Name,List Name,Name,Type,Field Old Json,Field New Json
Dev - Test,ST - Test,List1,Field1,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List1,Field2,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List1,Field3,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List1,Field4,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List1,Field5,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List1,Field6,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List2,Field7,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List2,Field8,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List2,Field9,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List2,Field10,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List2,Field11,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List2,Field12,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List2,Field13,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List3,Field14,Field,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}","{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List3,Field15,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List3,Field16,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
Dev - Test,ST - Test,List3,Field17,Field,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""width"":""100%"",""height"":""100%"",""align-items"":""center""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""width"":""60px"",""height"":""30px"",""border-radius"":""15px"",""align-items"":""center"",""flex-direction"":""=if(@currentField , 'row' , 'row-reverse')"",""margin"":""0 auto""},""attributes"":{""class"":""=if(@currentField , 'ms-bgColor-yellow' , 'ms-bgColor-neutralTertiaryAlt ')""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""12px"",""width"":""18px"",""height"":""18px"",""margin-left"":""=if(@currentField , '7px' , '5px')"",""margin-right"":""=if(@currentField , '5px' , '7px')""},""attributes"":{""class"":""ms-fontColor-white""},""txtContent"":""@currentField.displayValue""},{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""justify-content"":""center"",""font-size"":""22px"",""width"":""18px"",""height"":""18px"",""margin-left"":""6px"",""margin-right"":""6px"",""border-radius"":""50%""},""attributes"":{""class"":""ms-fontColor-white"",""iconName"":""StatusCircleInner""}}]}]}"
